,Year,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Match Winner
0,1930.0,France,4.0,1.0,Mexico, ,4444.0,France
1,1930.0,USA,3.0,0.0,Belgium, ,18346.0,USA
2,1930.0,Yugoslavia,2.0,1.0,Brazil, ,24059.0,Yugoslavia
3,1930.0,Romania,3.0,1.0,Peru, ,2549.0,Romania
4,1930.0,Argentina,1.0,0.0,France, ,23409.0,Argentina
5,1930.0,Chile,3.0,0.0,Mexico, ,9249.0,Chile
6,1930.0,Yugoslavia,4.0,0.0,Bolivia, ,18306.0,Yugoslavia
7,1930.0,USA,3.0,0.0,Paraguay, ,18306.0,USA
8,1930.0,Uruguay,1.0,0.0,Peru, ,57735.0,Uruguay
9,1930.0,Chile,1.0,0.0,France, ,2000.0,Chile
10,1930.0,Argentina,6.0,3.0,Mexico, ,42100.0,Argentina
11,1930.0,Brazil,4.0,0.0,Bolivia, ,25466.0,Brazil
12,1930.0,Paraguay,1.0,0.0,Belgium, ,12000.0,Paraguay
13,1930.0,Uruguay,4.0,0.0,Romania, ,70022.0,Uruguay
14,1930.0,Argentina,3.0,1.0,Chile, ,41459.0,Argentina
15,1930.0,Argentina,6.0,1.0,USA, ,72886.0,Argentina
16,1930.0,Uruguay,6.0,1.0,Yugoslavia, ,79867.0,Uruguay
17,1930.0,Uruguay,4.0,2.0,Argentina, ,68346.0,Uruguay
18,1934.0,Austria,3.0,2.0,France,Austria win after extra time ,16000.0,Austria
19,1934.0,Hungary,4.0,2.0,Egypt, ,9000.0,Hungary
20,1934.0,Switzerland,3.0,2.0,Netherlands, ,33000.0,Switzerland
21,1934.0,Sweden,3.0,2.0,Argentina, ,14000.0,Sweden
22,1934.0,Germany,5.0,2.0,Belgium, ,8000.0,Germany
23,1934.0,Spain,3.0,1.0,Brazil, ,21000.0,Spain
24,1934.0,Italy,7.0,1.0,USA, ,25000.0,Italy
25,1934.0,Czechoslovakia,2.0,1.0,Romania, ,9000.0,Czechoslovakia
26,1934.0,Czechoslovakia,3.0,2.0,Switzerland, ,12000.0,Czechoslovakia
27,1934.0,Germany,2.0,1.0,Sweden, ,3000.0,Germany
28,1934.0,Italy,1.0,1.0,Spain, ,35000.0,tie
29,1934.0,Austria,2.0,1.0,Hungary, ,23000.0,Austria
30,1934.0,Italy,1.0,0.0,Spain, ,43000.0,Italy
31,1934.0,Italy,1.0,0.0,Austria, ,35000.0,Italy
32,1934.0,Czechoslovakia,3.0,1.0,Germany, ,15000.0,Czechoslovakia
33,1934.0,Germany,3.0,2.0,Austria, ,7000.0,Germany
34,1934.0,Italy,2.0,1.0,Czechoslovakia,Italy win after extra time ,55000.0,Italy
35,1938.0,Switzerland,1.0,1.0,Germany, ,27152.0,tie
36,1938.0,Hungary,6.0,0.0,Indonesia, ,9000.0,Hungary
37,1938.0,France,3.0,1.0,Belgium, ,30454.0,France
38,1938.0,Cuba,3.0,3.0,Romania, ,7000.0,tie
39,1938.0,Italy,2.0,1.0,Norway,Italy win after extra time ,19000.0,Italy
40,1938.0,Brazil,6.0,5.0,Poland,Brazil win after extra time ,13452.0,Brazil
41,1938.0,Czechoslovakia,3.0,0.0,Netherlands,Czechoslovakia win after extra time ,11000.0,Czechoslovakia
42,1938.0,Cuba,2.0,1.0,Romania, ,8000.0,Cuba
43,1938.0,Switzerland,4.0,2.0,Germany, ,20025.0,Switzerland
44,1938.0,Brazil,1.0,1.0,Czechoslovakia, ,22021.0,tie
45,1938.0,Hungary,2.0,0.0,Switzerland, ,15000.0,Hungary
46,1938.0,Sweden,8.0,0.0,Cuba, ,7000.0,Sweden
47,1938.0,Italy,3.0,1.0,France, ,58455.0,Italy
48,1938.0,Brazil,2.0,1.0,Czechoslovakia, ,18141.0,Brazil
49,1938.0,Hungary,5.0,1.0,Sweden, ,20000.0,Hungary
50,1938.0,Italy,2.0,1.0,Brazil, ,33000.0,Italy
51,1938.0,Brazil,4.0,2.0,Sweden, ,12000.0,Brazil
52,1938.0,Italy,4.0,2.0,Hungary, ,45000.0,Italy
53,1950.0,Brazil,4.0,0.0,Mexico, ,81649.0,Brazil
54,1950.0,England,2.0,0.0,Chile, ,29703.0,England
55,1950.0,Spain,3.0,1.0,USA, ,9511.0,Spain
56,1950.0,Sweden,3.0,2.0,Italy, ,36502.0,Sweden
57,1950.0,Yugoslavia,3.0,0.0,Switzerland, ,7336.0,Yugoslavia
58,1950.0,Brazil,2.0,2.0,Switzerland, ,42032.0,tie
59,1950.0,Yugoslavia,4.0,1.0,Mexico, ,11078.0,Yugoslavia
60,1950.0,Spain,2.0,0.0,Chile, ,19790.0,Spain
61,1950.0,Sweden,2.0,2.0,Paraguay, ,7903.0,tie
62,1950.0,USA,1.0,0.0,England, ,10151.0,USA
63,1950.0,Brazil,2.0,0.0,Yugoslavia, ,142429.0,Brazil
64,1950.0,Spain,1.0,0.0,England, ,74462.0,Spain
65,1950.0,Italy,2.0,0.0,Paraguay, ,25811.0,Italy
66,1950.0,Uruguay,8.0,0.0,Bolivia, ,5284.0,Uruguay
67,1950.0,Switzerland,2.0,1.0,Mexico, ,3580.0,Switzerland
68,1950.0,Chile,5.0,2.0,USA, ,8501.0,Chile
69,1950.0,Uruguay,2.0,2.0,Spain, ,44802.0,tie
70,1950.0,Brazil,7.0,1.0,Sweden, ,138886.0,Brazil
71,1950.0,Brazil,6.0,1.0,Spain, ,152772.0,Brazil
72,1950.0,Uruguay,3.0,2.0,Sweden, ,7987.0,Uruguay
73,1950.0,Sweden,3.0,1.0,Spain, ,11227.0,Sweden
74,1950.0,Uruguay,2.0,1.0,Brazil, ,173850.0,Uruguay
75,1954.0,Uruguay,2.0,0.0,Czechoslovakia, ,20500.0,Uruguay
76,1954.0,Austria,1.0,0.0,Scotland, ,25000.0,Austria
77,1954.0,Brazil,5.0,0.0,Mexico, ,13470.0,Brazil
78,1954.0,Yugoslavia,1.0,0.0,France, ,16000.0,Yugoslavia
79,1954.0,Germany,4.0,1.0,Turkey, ,28000.0,Germany
80,1954.0,Hungary,9.0,0.0,South Korea, ,13000.0,Hungary
81,1954.0,England,4.0,4.0,Belgium, ,14000.0,tie
82,1954.0,Switzerland,2.0,1.0,Italy, ,43000.0,Switzerland
83,1954.0,Uruguay,7.0,0.0,Scotland, ,34000.0,Uruguay
84,1954.0,Austria,5.0,0.0,Czechoslovakia, ,26000.0,Austria
85,1954.0,France,3.0,2.0,Mexico, ,19000.0,France
86,1954.0,Brazil,1.0,1.0,Yugoslavia, ,24637.0,tie
87,1954.0,Hungary,8.0,3.0,Germany, ,56000.0,Hungary
88,1954.0,Turkey,7.0,0.0,South Korea, ,4000.0,Turkey
89,1954.0,England,2.0,0.0,Switzerland, ,43500.0,England
90,1954.0,Italy,4.0,1.0,Belgium, ,24000.0,Italy
91,1954.0,Germany,7.0,2.0,Turkey, ,17000.0,Germany
92,1954.0,Switzerland,4.0,1.0,Italy, ,30000.0,Switzerland
93,1954.0,Uruguay,4.0,2.0,England, ,28000.0,Uruguay
94,1954.0,Austria,7.0,5.0,Switzerland, ,35000.0,Austria
95,1954.0,Germany,2.0,0.0,Yugoslavia, ,17000.0,Germany
96,1954.0,Hungary,4.0,2.0,Brazil, ,40000.0,Hungary
97,1954.0,Germany,6.0,1.0,Austria, ,58000.0,Germany
98,1954.0,Hungary,4.0,2.0,Uruguay,Hungary win after extra time ,45000.0,Hungary
99,1954.0,Austria,3.0,1.0,Uruguay, ,32000.0,Austria
100,1954.0,Germany,3.0,2.0,Hungary, ,62500.0,Germany
101,1958.0,Sweden,3.0,0.0,Mexico, ,34107.0,Sweden
102,1958.0,Russia,2.0,2.0,England, ,49348.0,tie
103,1958.0,Argentina,1.0,3.0,Germany, ,31156.0,Germany
104,1958.0,Hungary,1.0,1.0,Wales, ,15343.0,tie
105,1958.0,France,7.0,3.0,Paraguay, ,16518.0,France
106,1958.0,Yugoslavia,1.0,1.0,Scotland, ,9591.0,tie
107,1958.0,Brazil,3.0,0.0,Austria, ,17788.0,Brazil
108,1958.0,Northern Ireland,1.0,0.0,Czechoslovakia, ,10647.0,Northern Ireland
109,1958.0,Brazil,0.0,0.0,England, ,40895.0,tie
110,1958.0,Mexico,1.0,1.0,Wales, ,15150.0,tie
111,1958.0,Paraguay,3.0,2.0,Scotland, ,11665.0,Paraguay
112,1958.0,Yugoslavia,3.0,2.0,France, ,12217.0,Yugoslavia
113,1958.0,Russia,2.0,0.0,Austria, ,21239.0,Russia
114,1958.0,Germany,2.0,2.0,Czechoslovakia, ,25000.0,tie
115,1958.0,Argentina,3.0,1.0,Northern Ireland, ,14174.0,Argentina
116,1958.0,Sweden,2.0,1.0,Hungary, ,38850.0,Sweden
117,1958.0,Sweden,0.0,0.0,Wales, ,30287.0,tie
118,1958.0,Brazil,2.0,0.0,Russia, ,50928.0,Brazil
119,1958.0,Germany,2.0,2.0,Northern Ireland, ,21990.0,tie
120,1958.0,Hungary,4.0,0.0,Mexico, ,13300.0,Hungary
121,1958.0,Paraguay,3.0,3.0,Yugoslavia, ,13103.0,tie
122,1958.0,France,2.0,1.0,Scotland, ,13554.0,France
123,1958.0,England,2.0,2.0,Austria, ,15872.0,tie
124,1958.0,Czechoslovakia,6.0,1.0,Argentina, ,16418.0,Czechoslovakia
125,1958.0,Russia,1.0,0.0,England, ,23182.0,Russia
126,1958.0,Northern Ireland,2.0,1.0,Czechoslovakia,Northern Ireland win after extra time ,6196.0,Northern Ireland
127,1958.0,Wales,2.0,1.0,Hungary, ,2823.0,Wales
128,1958.0,Brazil,1.0,0.0,Wales, ,25923.0,Brazil
129,1958.0,Germany,1.0,0.0,Yugoslavia, ,20055.0,Germany
130,1958.0,Sweden,2.0,0.0,Russia, ,31900.0,Sweden
131,1958.0,France,4.0,0.0,Northern Ireland, ,11800.0,France
132,1958.0,Sweden,3.0,1.0,Germany, ,49471.0,Sweden
133,1958.0,Brazil,5.0,2.0,France, ,27100.0,Brazil
134,1958.0,France,6.0,3.0,Germany, ,32483.0,France
135,1958.0,Brazil,5.0,2.0,Sweden, ,49737.0,Brazil
136,1962.0,Uruguay,2.0,1.0,Colombia, ,7908.0,Uruguay
